pmid,pmcid,title,figure_id,figure_label,figure_title,figure_url,figure_depiction,source_description_in_figure,lv2_source,source_type,target_description_in_figure,lv2_target,target_type,direction
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,Telomere damage,,,,,,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,epigenetic dysregulation,,,,,,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,DNA damage,,,,,,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,mitochondrial dysfunction,,,,,,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,senescence,,,,,,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,stem cell exhaustion,,,,,,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,chronic inflammation,,,,,,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,proteostatic dysfunction,,,,,,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,nutrient signaling disruption,,,,,,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,senescence growth arrest,,,,,,
