pmid,pmcid,title,figure_id,figure_label,figure_title,figure_url,figure_depiction,source_description_in_figure,lv2_source,source_type,target_description_in_figure,lv2_target,target_type,direction
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,Telomere Erosion,http://purl.bioontology.org/ontology/HOIP/HOIP_0060049,process,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,DNA damage,http://purl.obolibrary.org/obo/NCIT_C16507,process,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,Mitochondrial dysfunction,http://purl.bioontology.org/ontology/HOIP/HOIP_0002361,process,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,Epigenetic factors,http://purl.bioontology.org/ontology/HOIP/HOIP_0060897,molecule,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,Chronic Inflammation,http://purl.obolibrary.org/obo/GO_0006954,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,Stem cell exhaustion,http://purl.bioontology.org/ontology/HOIP/HOIP_0040446,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,Nutrient signaling dysfunction,http://purl.bioontology.org/ontology/HOIP/HOIP_0002130,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,Proteostatic dysfunction,http://purl.bioontology.org/ontology/HOIP/HOIP_0060493,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,DDR,http://purl.obolibrary.org/obo/GO_0006974,process,p53,http://purl.obolibrary.org/obo/PR_P04637,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,p53,http://purl.obolibrary.org/obo/PR_P04637,molecule,p21,http://purl.obolibrary.org/obo/PR_P38936,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,p16,http://purl.obolibrary.org/obo/PR_000030011,molecule,Rb,http://purl.obolibrary.org/obo/PR_P06400,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,Rb,http://purl.obolibrary.org/obo/PR_P06400,molecule,CDK4/6,http://purl.obolibrary.org/obo/PR_P11802,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,Rb,http://purl.obolibrary.org/obo/PR_P06400,molecule,CDK4/6,http://purl.obolibrary.org/obo/PR_Q00534,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,INK4A/ARF locus,http://purl.obolibrary.org/obo/PR_000030011,molecule,p16,http://purl.obolibrary.org/obo/PR_000030011,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,INK4A/ARF locus,http://purl.obolibrary.org/obo/PR_Q8N726,molecule,ARF,http://purl.obolibrary.org/obo/PR_Q8N726,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,INK4A/ARF induction,http://purl.bioontology.org/ontology/HOIP/HOIP_0060807,process,INK4A/ARF locus,http://purl.obolibrary.org/obo/PR_000030011,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Figure 2.,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig2.jpg,INK4A/ARF induction,http://purl.bioontology.org/ontology/HOIP/HOIP_0060807,process,INK4A/ARF locus,http://purl.obolibrary.org/obo/PR_Q8N726,molecule,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Figure 3.,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig3.jpg,SASP,http://purl.bioontology.org/ontology/HOIP/HOIP_0060819,process,Immune cell recruitment,http://purl.obolibrary.org/obo/GO_0050900,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Figure 3.,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig3.jpg,SASP,http://purl.bioontology.org/ontology/HOIP/HOIP_0060819,process,Tissue remodeling,http://purl.obolibrary.org/obo/GO_0048771,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Figure 3.,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig3.jpg,SASP,http://purl.bioontology.org/ontology/HOIP/HOIP_0060819,process,Paracrine senescence,http://purl.obolibrary.org/obo/GO_0038001,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Figure 3.,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig3.jpg,SASP,http://purl.bioontology.org/ontology/HOIP/HOIP_0060819,process,Autocrine senescence,http://purl.obolibrary.org/obo/GO_0035425,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Figure 3.,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig3.jpg,SASP,http://purl.bioontology.org/ontology/HOIP/HOIP_0060819,process,NK Cell,http://purl.obolibrary.org/obo/CL_0000623,cell,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Figure 3.,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig3.jpg,SASP,http://purl.bioontology.org/ontology/HOIP/HOIP_0060819,process,Macrophage,http://purl.obolibrary.org/obo/CL_0000235,cell,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig4,Figure 4.,Involvement of senescence in disease.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig4/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig4.jpg,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,Glaucoma,http://purl.obolibrary.org/obo/DOID_1686,disease,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig4,Figure 4.,Involvement of senescence in disease.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig4/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig4.jpg,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,Idiopathic pulmonary fibrosis (IPF),http://purl.obolibrary.org/obo/DOID_0050156,disease,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig4,Figure 4.,Involvement of senescence in disease.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig4/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig4.jpg,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,Atherosclerosis,http://purl.obolibrary.org/obo/DOID_1936,disease,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig4,Figure 4.,Involvement of senescence in disease.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig4/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig4.jpg,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,Liver cirrhosis / NAFLD,http://purl.obolibrary.org/obo/DOID_0080208,disease,
