pmid,pmcid,title,figure_id,figure_title,figure_url,node_annotation,node_prediction,node_type,result
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,mitochondrial dysfunction,mitochondrial dysfunction,PROCESS,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,senescence,senescence,PROCESS,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,chronic inflammation,chronic inflammation,PROCESS,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,proteostatic dysfunction,proteostatic dysfunction,PROCESS,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,nutrient signaling dysfunction,nutrient signaling dysfunction,PROCESS,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,dna damage,dna damage,PROCESS,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,epigenetic factors,epigenetic factors,MOLECULE,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,stem cell exhaustion,stem cell exhaustion,PROCESS,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,telomere erosion,telomere erosion,PROCESS,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,cdk4/6,cdk4/6,MOLECULE,True Positive
