pmid,pmcid,title,figure_id,figure_title,figure_url,source_node_name_annotation,source_node_type_annotation,source_node_uri_annotation,target_node_name_annotation,target_node_type_annotation,target_node_uri_annotation,source_node_name_prediction,source_node_type_prediction,source_node_uri_prediction,target_node_name_prediction,target_node_type_prediction,target_node_uri_prediction,result
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Proteostatic dysfunction,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0060493,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,Proteostatic dysfunction,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0060493,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Telomere Erosion,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0060049,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,Telomere Erosion,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0060049,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Epigenetic factors,molecule,http://purl.bioontology.org/ontology/HOIP/HOIP_0060897,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,Epigenetic factors,molecule,http://purl.bioontology.org/ontology/HOIP/HOIP_0060897,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Mitochondrial dysfunction,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0002361,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,Mitochondrial dysfunction,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0002361,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Nutrient signaling dysfunction,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0002130,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,Nutrient signaling dysfunction,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0002130,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,DNA damage,process,http://purl.obolibrary.org/obo/NCIT_C16507,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,DNA damage,process,http://purl.obolibrary.org/obo/NCIT_C16507,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,Proteostatic dysfunction,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0060493,,,,,,,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,Chronic Inflammation,process,http://purl.obolibrary.org/obo/GO_0006954,,,,,,,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,Stem cell exhaustion,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0040446,,,,,,,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,Nutrient signaling dysfunction,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0002130,,,,,,,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,,,,,,,Stem cell exhaustion,process,http://purl.bioontology.org/ontology/HOIP/HOIP_0040446,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,False Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,,,,,,,Chronic Inflammation,process,http://purl.obolibrary.org/obo/GO_0006954,Senescence,process,http://purl.obolibrary.org/obo/GO_0090398,False Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,DDR,process,http://purl.obolibrary.org/obo/GO_0006974,p53,molecule,http://purl.obolibrary.org/obo/PR_P04637,DDR,process,http://purl.obolibrary.org/obo/GO_0006974,p53,molecule,http://purl.obolibrary.org/obo/PR_P04637,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,CDK4/6,molecule,http://purl.obolibrary.org/obo/PR_Q00534,Rb,molecule,http://purl.obolibrary.org/obo/PR_P06400,CDK4/6,molecule,http://purl.obolibrary.org/obo/PR_Q00534,Rb,molecule,http://purl.obolibrary.org/obo/PR_P06400,True Positive
